category,flow_name,bpmn_file,source_type
IT,IT Software Review Form,all_flows_bpmn/it__it_software_review_form.bpmn,DEMO_TEMPLATE
IT,IT Training Feedback Form,all_flows_bpmn/it__it_training_feedback_form.bpmn,DEMO_TEMPLATE
IT,IT VPN Form,all_flows_bpmn/it__it_vpn_form.bpmn,DEMO_TEMPLATE
IT,Review-IT Incident SLA,all_flows_bpmn/it__review_it_incident_sla.bpmn,DEMO_TEMPLATE
Legal,Contract Draft-Review Request,all_flows_bpmn/legal__contract_draft_review_request.bpmn,DEMO_TEMPLATE
Maintenance,Maintenance Work Order Request Form,all_flows_bpmn/maintenance__maintenance_work_order_request_form.bpmn,DEMO_TEMPLATE
Maintenance,Maintenance Work Order Request Form-V5(23-Nov-2020),all_flows_bpmn/maintenance__maintenance_work_order_request_form_v5_23_nov_2020.bpmn,DEMO_TEMPLATE
Maintenance,Maintenance Work Order Request Form-V6 2022No,all_flows_bpmn/maintenance__maintenance_work_order_request_form_v6_2022no.bpmn,DEMO_TEMPLATE
Maintenance,Maintenance Work Order Request Form-V7 2023May18,all_flows_bpmn/maintenance__maintenance_work_order_request_form_v7_2023may18.bpmn,DEMO_TEMPLATE
Maintenance,Preventive Maintenance Form,all_flows_bpmn/maintenance__preventive_maintenance_form.bpmn,DEMO_TEMPLATE
Poker,Poker Keys and Card Inventory,all_flows_bpmn/poker__poker_keys_and_card_inventory.bpmn,DEMO_TEMPLATE
QA Test,K2 - Complimentary Vouchers & Discount Vouchers testing by Chaly,all_flows_bpmn/qa_test__k2_complimentary_vouchers_and_discount_vouchers_testing_by_chaly.bpmn,DEMO_TEMPLATE
Reservation,1st November - Change of Friends and Family Rates and T&C in K2,all_flows_bpmn/reservation__1st_november_change_of_friends_and_family_rates_and_t_and_c_in_k2.bpmn,DEMO_TEMPLATE
Reservation,Complimentary Room Request,all_flows_bpmn/reservation__complimentary_room_request.bpmn,DEMO_TEMPLATE
Reservation,Complimentary Room Request - R3 old,all_flows_bpmn/reservation__complimentary_room_request_r3_old.bpmn,DEMO_TEMPLATE
Reservation,Friends and Family Booking Request,all_flows_bpmn/reservation__friends_and_family_booking_request.bpmn,DEMO_TEMPLATE
Risk Management Matric,Self Assessment Form,all_flows_bpmn/risk_management_matric__self_assessment_form.bpmn,DEMO_TEMPLATE
Risk Management Matric,Self Assessment Form up1,all_flows_bpmn/risk_management_matric__self_assessment_form_up1.bpmn,DEMO_TEMPLATE
Surveillance,Request For Access Card,all_flows_bpmn/surveillance__request_for_access_card.bpmn,DEMO_TEMPLATE
